benefit_id,period,month,benefit_category,benefit,strategic_theme,business_unit,domain,ai_use_case_id,ai_use_case_name,executive_sponsor,product_owner,delivery_team,status,stage,maturity,actual,target,previous_period,variance_pct,ytd_value,fy_target,unit,confidence,data_source,evidence,contributing_systems,contributing_ai_models,risks,opportunities,dependencies,owner,financial_owner,last_updated,commentary,approval_status,approved_by
BI-FM-001-VALUE,2026-01,January,Financial,Annual Benefits Realised,Faster notification and escalation of priority failures to improve operational responsiveness.,ASOC,Fault Management,FM-001,Access 2T,David Mgcina,Anthony Fernandes,ASOC Fault Management,Production,Realised,Managed,29555.24,37500.0,28055.24,5.3,29555.24,450000.0,R,90,Dashboard AI use-case register; monthly benefit owner update,"Improve MTTL, MTTD and contribution to MTTR reduction","IBM NOI, Resolve, AIOps, Shesha",Automation analytics,,Scale Access 2T across additional ASOC processes and OPCOs where reusable.,Sustained automated priority failure notification,Anthony Fernandes,ASOC Finance,2026-06-30,"2026-01: Access 2T contributed R value in Fault Management, linked directly to dashboard use case FM-001.",Manager Approved,David Mgcina
BI-FM-001-HOURS,2026-01,January,Operational,Productivity Hours Saved,Faster notification and escalation of priority failures to improve operational responsiveness.,ASOC,Fault Management,FM-001,Access 2T,David Mgcina,Anthony Fernandes,ASOC Fault Management,Production,Realised,Managed,59.1,75.0,56.1,5.3,59.1,900.0,hrs,90,Dashboard AI use-case register; monthly benefit owner update,"Improve MTTL, MTTD and contribution to MTTR reduction","IBM NOI, Resolve, AIOps, Shesha",Automation analytics,,Scale Access 2T across additional ASOC processes and OPCOs where reusable.,Sustained automated priority failure notification,Anthony Fernandes,ASOC Finance,2026-06-30,2026-01: productivity hours saved from automation/reduced manual effort for Access 2T.,Manager Approved,David Mgcina
BI-FM-001-MTTR,2026-01,January,Operational,MTTR Improvement,Faster notification and escalation of priority failures to improve operational responsiveness.,ASOC,Fault Management,FM-001,Access 2T,David Mgcina,Anthony Fernandes,ASOC Fault Management,Production,Realised,Managed,2.4,3.0,2.2,9.1,2.4,3.0,%,90,Dashboard AI use-case register; monthly benefit owner update,"Improve MTTL, MTTD and contribution to MTTR reduction","IBM NOI, Resolve, AIOps, Shesha",Automation analytics,,Scale Access 2T across additional ASOC processes and OPCOs where reusable.,Sustained automated priority failure notification,Anthony Fernandes,ASOC Finance,2026-06-30,2026-01: MTTR contribution tracked for Access 2T in Fault Management.,Manager Approved,David Mgcina
BI-FM-001-REUSE,2026-01,January,Reuse,Reuse Score,Faster notification and escalation of priority failures to improve operational responsiveness.,ASOC,Fault Management,FM-001,Access 2T,David Mgcina,Anthony Fernandes,ASOC Fault Management,Production,Realised,Managed,1.8,5,1.7,5.9,1.8,5,score,90,Dashboard AI use-case register; monthly benefit owner update,"Improve MTTL, MTTD and contribution to MTTR reduction","IBM NOI, Resolve, AIOps, Shesha",Automation analytics,,Scale Access 2T across additional ASOC processes and OPCOs where reusable.,Sustained automated priority failure notification,Anthony Fernandes,ASOC Finance,2026-06-30,2026-01: reuse potential for Access 2T assessed against ASOC cross-domain scaling.,Manager Approved,David Mgcina
BI-FM-001-VALUE,2026-02,February,Financial,Annual Benefits Realised,Faster notification and escalation of priority failures to improve operational responsiveness.,ASOC,Fault Management,FM-001,Access 2T,David Mgcina,Anthony Fernandes,ASOC Fault Management,Production,Realised,Managed,31867.02,37500.0,30367.02,4.9,63734.04,450000.0,R,90,Dashboard AI use-case register; monthly benefit owner update,"Improve MTTL, MTTD and contribution to MTTR reduction","IBM NOI, Resolve, AIOps, Shesha",Automation analytics,,Scale Access 2T across additional ASOC processes and OPCOs where reusable.,Sustained automated priority failure notification,Anthony Fernandes,ASOC Finance,2026-06-30,"2026-02: Access 2T contributed R value in Fault Management, linked directly to dashboard use case FM-001.",Manager Approved,David Mgcina
BI-FM-001-HOURS,2026-02,February,Operational,Productivity Hours Saved,Faster notification and escalation of priority failures to improve operational responsiveness.,ASOC,Fault Management,FM-001,Access 2T,David Mgcina,Anthony Fernandes,ASOC Fault Management,Production,Realised,Managed,63.7,75.0,60.7,4.9,127.4,900.0,hrs,90,Dashboard AI use-case register; monthly benefit owner update,"Improve MTTL, MTTD and contribution to MTTR reduction","IBM NOI, Resolve, AIOps, Shesha",Automation analytics,,Scale Access 2T across additional ASOC processes and OPCOs where reusable.,Sustained automated priority failure notification,Anthony Fernandes,ASOC Finance,2026-06-30,2026-02: productivity hours saved from automation/reduced manual effort for Access 2T.,Manager Approved,David Mgcina
BI-FM-001-MTTR,2026-02,February,Operational,MTTR Improvement,Faster notification and escalation of priority failures to improve operational responsiveness.,ASOC,Fault Management,FM-001,Access 2T,David Mgcina,Anthony Fernandes,ASOC Fault Management,Production,Realised,Managed,2.5,3.0,2.4,4.2,2.5,3.0,%,90,Dashboard AI use-case register; monthly benefit owner update,"Improve MTTL, MTTD and contribution to MTTR reduction","IBM NOI, Resolve, AIOps, Shesha",Automation analytics,,Scale Access 2T across additional ASOC processes and OPCOs where reusable.,Sustained automated priority failure notification,Anthony Fernandes,ASOC Finance,2026-06-30,2026-02: MTTR contribution tracked for Access 2T in Fault Management.,Manager Approved,David Mgcina
BI-FM-001-REUSE,2026-02,February,Reuse,Reuse Score,Faster notification and escalation of priority failures to improve operational responsiveness.,ASOC,Fault Management,FM-001,Access 2T,David Mgcina,Anthony Fernandes,ASOC Fault Management,Production,Realised,Managed,1.8,5,1.7,5.9,1.8,5,score,90,Dashboard AI use-case register; monthly benefit owner update,"Improve MTTL, MTTD and contribution to MTTR reduction","IBM NOI, Resolve, AIOps, Shesha",Automation analytics,,Scale Access 2T across additional ASOC processes and OPCOs where reusable.,Sustained automated priority failure notification,Anthony Fernandes,ASOC Finance,2026-06-30,2026-02: reuse potential for Access 2T assessed against ASOC cross-domain scaling.,Manager Approved,David Mgcina
BI-FM-001-VALUE,2026-03,March,Financial,Annual Benefits Realised,Faster notification and escalation of priority failures to improve operational responsiveness.,ASOC,Fault Management,FM-001,Access 2T,David Mgcina,Anthony Fernandes,ASOC Fault Management,Production,Realised,Managed,33496.59,37500.0,31996.59,4.7,100489.77,450000.0,R,90,Dashboard AI use-case register; monthly benefit owner update,"Improve MTTL, MTTD and contribution to MTTR reduction","IBM NOI, Resolve, AIOps, Shesha",Automation analytics,,Scale Access 2T across additional ASOC processes and OPCOs where reusable.,Sustained automated priority failure notification,Anthony Fernandes,ASOC Finance,2026-06-30,"2026-03: Access 2T contributed R value in Fault Management, linked directly to dashboard use case FM-001.",Manager Approved,David Mgcina
BI-FM-001-HOURS,2026-03,March,Operational,Productivity Hours Saved,Faster notification and escalation of priority failures to improve operational responsiveness.,ASOC,Fault Management,FM-001,Access 2T,David Mgcina,Anthony Fernandes,ASOC Fault Management,Production,Realised,Managed,67.0,75.0,64.0,4.7,201.0,900.0,hrs,90,Dashboard AI use-case register; monthly benefit owner update,"Improve MTTL, MTTD and contribution to MTTR reduction","IBM NOI, Resolve, AIOps, Shesha",Automation analytics,,Scale Access 2T across additional ASOC processes and OPCOs where reusable.,Sustained automated priority failure notification,Anthony Fernandes,ASOC Finance,2026-06-30,2026-03: productivity hours saved from automation/reduced manual effort for Access 2T.,Manager Approved,David Mgcina
